sentiment,review,text_length,synonym_replacement,random_insertion,random_swap,random_deletion
pos,ousousous,,,,,
pos,ousousousouslyous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousousouseousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyOUSousousouousousOUSous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousously,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouseous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousousiousousous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousousouseousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyous,,,,,
pos,ousousousouslyousousiousousous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousousiousousousouseousous,,,,,
pos,ousousous,,,,,
pos,ousousous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyous,,,,,
pos,ousousousouslyousous,,,,,
pos,,,,,,
pos,ousousous,,,,,
pos,ousousousouousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyOUSousous,,,,,
pos,ousousousouslyousousouseousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousousiousousous,,,,,
pos,ousousousOUSousousouslyous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousousouousousouseousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouseous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousouslyOUSousousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousously,,,,,
pos,ousousous,,,,,
pos,ousousouslyousousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousous,,,,,
pos,ousousousously,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousous,,,,,
pos,ousousouslyOUSousousouseousousous,,,,,
pos,ousousousouslyous,,,,,
pos,ousousouslyOUSousousouseousousous,,,,,
pos,ousousous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousousouslyousous,,,,,
pos,ousousous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyousousOUSousous,,,,,
pos,ousousous,,,,,
pos,ousousousouslyousous,,,,,
